school_type,teaching_method,n_student,gender,lunch,pretest,posttest,school_setting_Rural,school_setting_Suburban,school_setting_Urban
0,1,-0.6519633558441411,0,0,0.5178425022397335,72.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.8129450512684945,79.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,76.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.44406686498254316,77.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,76.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.8129450512684945,74.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.5916181394969237,75.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,77.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.44406686498254316,72.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.44406686498254316,73.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,74.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.8129450512684945,78.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.3702912277253529,71.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.6653937767541139,77.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,73.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.8867206885256848,73.0,0.0,0.0,1.0
0,1,-0.6519633558441411,0,0,0.5916181394969237,71.0,0.0,0.0,1.0
0,1,-0.6519633558441411,1,0,0.6653937767541139,73.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.3702912277253529,68.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.3702912277253529,70.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.14896431595378212,66.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.14896431595378212,70.0,0.0,0.0,1.0
0,1,-0.41652555133107666,0,1,0.07518867869659186,65.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.2227399532109724,67.0,0.0,0.0,1.0
0,1,-0.41652555133107666,0,0,0.3702912277253529,70.0,0.0,0.0,1.0
0,1,-0.41652555133107666,0,0,0.3702912277253529,67.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,-0.07236259581778867,63.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.2227399532109724,66.0,0.0,0.0,1.0
0,1,-0.41652555133107666,0,0,0.8129450512684945,71.0,0.0,0.0,1.0
0,1,-0.41652555133107666,1,0,0.3702912277253529,76.0,0.0,0.0,1.0
